nppa_drug_name,salt_id,dosage_form,strength,ceiling_price_2026,drugs_matched_form,drugs_matched_exact,violations
Dicyclomine,70faf4ce-3bc0-4403-9f70-1614edfaa0c1,Injection,10mg/mL (10 ML & more pack)),2.15,54,31,18
Diethylcarbamazine (DEC),aceb0e51-472f-4541-a28f-10c647764f38,Tablet,100mg,1.71,54,9,1
Diethylcarbamazine (DEC),aceb0e51-472f-4541-a28f-10c647764f38,Tablet,50mg,0.57,54,1,0
Diethylcarbamazine (DEC),aceb0e51-472f-4541-a28f-10c647764f38,Oral Liquid,120mg/5mL(p),0.49,0,0,0
Digoxin,165fa63b-c133-4e47-988c-07c9c80ef37a,Tablet,0.25mg,1.36,12,12,0
Digoxin,165fa63b-c133-4e47-988c-07c9c80ef37a,Oral Liquid,0.05mg/mL,1.51,0,0,0
Digoxin,165fa63b-c133-4e47-988c-07c9c80ef37a,Injection,0.25mg/mL,3.97,2,2,2
Diltiazem,46432295-5a19-49aa-99aa-e2c25cbba6a9,Tablet,60mg,5.6,116,33,4
Diltiazem,46432295-5a19-49aa-99aa-e2c25cbba6a9,Tablet,30mg,2.75,116,44,3
Diltiazem,46432295-5a19-49aa-99aa-e2c25cbba6a9,Injection,5mg/mL,3.58,1,1,0
Diltiazem,46432295-5a19-49aa-99aa-e2c25cbba6a9,Modified Release,Capsule 180mg,26.89,0,0,0
Dinoprostone,cee018a1-33f0-4b48-8b6f-56e37d2a79c8,Gel,0.5mg,86.75,4,4,1
Dobutamine,ad371a59-9c1b-4ad7-b719-0319d324f13a,Injection,50 mg/ml,9.25,31,7,7
Docetaxel,033b945e-2b5d-411c-a64c-d6719e039d10,Injection,20mg,2937.27,114,41,16
Docetaxel,033b945e-2b5d-411c-a64c-d6719e039d10,Injection,80mg,10581.82,114,38,5
Dolutegravir,95407a92-857f-40e1-b85f-c9f1e3f983eb,Tablet,50mg,115.5,4,4,2
Domperidone,5febca09-7d34-480b-a211-4e89db74acce,Tablet,10mg,2.37,2736,2071,1851
Domperidone,5febca09-7d34-480b-a211-4e89db74acce,Oral Liquid,1mg/mL,1.27,0,0,0
Donepezil,65304c13-764f-4979-a4a1-51cdf0f13d11,Tablet,10mg,17.88,121,32,6
Donepezil,65304c13-764f-4979-a4a1-51cdf0f13d11,Tablet,5mg,12.4,121,79,34
Dopamine,c0dfab51-c7de-4e94-b0d0-cc29c4784609,Injection,40mg/mL,4.88,20,8,7
Doxycycline,ed857d58-1b88-4a81-a0a3-d4825c23b383,Capsule,100mg,3.15,182,177,131
Doxycycline,ed857d58-1b88-4a81-a0a3-d4825c23b383,Tablet,100mg,1.25,167,149,138
Doxycycline,ed857d58-1b88-4a81-a0a3-d4825c23b383,Injection,100 mg,514.71,49,48,21
Efavirenz,a19a3991-3649-451a-9147-45b5ec4d8457,Tablet,600mg,72.29,11,8,0
Efavirenz,a19a3991-3649-451a-9147-45b5ec4d8457,Tablet,200 mg (p),23.08,11,3,1
Efavirenz,a19a3991-3649-451a-9147-45b5ec4d8457,Capsule,200 mg,22.51,4,2,2
Efavirenz,a19a3991-3649-451a-9147-45b5ec4d8457,Capsule,600 mg,57.03,4,2,2
Enalapril,70e7d4e1-998a-4020-97d9-5d102540e584,Tablet,5mg,3.78,159,67,2
Enalapril,70e7d4e1-998a-4020-97d9-5d102540e584,Tablet,2.5mg,2.24,159,43,3
Enoxaparin,34d6f7ba-60dc-44d7-be19-53eee905c7c0,Injection,"40mg/0.4mL, Injection 60mg/0.6 ml",114.68,171,74,72
Entecavir,3bb912ea-c4e6-44e6-9440-035c9c99a028,Tablet,1mg,133.37,28,28,0
Entecavir,3bb912ea-c4e6-44e6-9440-035c9c99a028,Tablet,0.5mg,86.47,28,28,7
Esmolol,3938183c-7497-4f49-8bde-6cf981a15689,Injection,10 mg/mL,27.01,5,0,0
Ethambutol,85e0cdcb-3f17-4ec6-9f1a-a26674d371c6,Tablet,600mg,4.18,101,10,0
Ethambutol,85e0cdcb-3f17-4ec6-9f1a-a26674d371c6,Tablet,800mg,5.08,101,56,0
Ethambutol,85e0cdcb-3f17-4ec6-9f1a-a26674d371c6,Tablet,400mg,2.68,101,11,0
Ethambutol,85e0cdcb-3f17-4ec6-9f1a-a26674d371c6,Tablet,200mg,1.17,101,6,0
Ethionamide,8c536f8c-c128-4de3-bdcb-c472981a46ef,Tablet,250mg,15.17,14,14,2
Etoposide,185cdb3c-b7f7-4d7c-88ef-8a881318519f,Capsule,50mg,57.99,7,5,0
Etoposide,185cdb3c-b7f7-4d7c-88ef-8a881318519f,Injection,20mg/mL,35.34,25,2,1
Fentanyl,d7e9ad36-85df-4767-a308-08eb96f686d0,Injection,50mcg/ml,21.46,6,0,0
Filgrastim,09933e58-593b-46e5-b351-ba92d8c2a4c0,Injection,300mcg,1187.83,31,0,0
Fluconazole,1bed7381-ed67-4be6-9933-3fe86b814238,Tablet,400mg,30.47,1264,64,22
Fluconazole,1bed7381-ed67-4be6-9933-3fe86b814238,Tablet,200mg,17.88,1264,183,116
Fluconazole,1bed7381-ed67-4be6-9933-3fe86b814238,Tablet,100mg,7.8,1264,10,7
Fluconazole,1bed7381-ed67-4be6-9933-3fe86b814238,Tablet,150mg,12.35,1264,931,439
Fluconazole,1bed7381-ed67-4be6-9933-3fe86b814238,Tablet,50mg,9.91,1264,56,15
Fluconazole,1bed7381-ed67-4be6-9933-3fe86b814238,Capsule,200mg,41.08,99,13,2
Fluconazole,1bed7381-ed67-4be6-9933-3fe86b814238,Capsule,150mg,19.68,99,69,28
Fluconazole,1bed7381-ed67-4be6-9933-3fe86b814238,Injection,200mg/100mL,94.55,7,4,0
Fluconazole,1bed7381-ed67-4be6-9933-3fe86b814238,Capsule,100mg,21.91,99,5,3
Fludrocortisone,7711de10-5045-4e08-9040-799703ccad80,Tablet,0.1mg,13.52,3,0,0
Flunarizine,34d976ec-d150-44c2-9dd3-6b704e704b4c,Tablet,5mg,2.54,319,103,52
Flunarizine,34d976ec-d150-44c2-9dd3-6b704e704b4c,Tablet,10mg,4.93,319,215,24
Fluoxetine,aabeddab-7fad-49d4-a18a-df39718cef61,Capsule,20 mg,4.09,176,117,11
Fluoxetine,aabeddab-7fad-49d4-a18a-df39718cef61,Capsule,60 mg,11.36,176,21,0
Fluoxetine,aabeddab-7fad-49d4-a18a-df39718cef61,Capsule,40 mg,6.64,176,21,1
Fluoxetine,aabeddab-7fad-49d4-a18a-df39718cef61,Capsule,10 mg,3.4,176,17,0
Fluoxetine,aabeddab-7fad-49d4-a18a-df39718cef61,Tablet,10 mg,2.85,208,14,2
Fluoxetine,aabeddab-7fad-49d4-a18a-df39718cef61,Tablet,40 mg,5.7,208,19,3
Fluoxetine,aabeddab-7fad-49d4-a18a-df39718cef61,Tablet,60 mg,8.44,208,15,5
Fluoxetine,aabeddab-7fad-49d4-a18a-df39718cef61,Tablet,20 mg,4.25,208,154,90
Fluphenazine,dba6e642-8908-4441-9692-909ddc484f63,Injection,25mg/mL,56.59,10,10,0
Folic Acid,c68f5791-a913-41d3-aeeb-ba18c21de016,Tablet,5 mg,1.55,40,32,11
Folic Acid,c68f5791-a913-41d3-aeeb-ba18c21de016,Capsule,5 mg,5.16,3,3,3
Framycetin,f3006d71-b3c6-428f-9fc7-380c26e94d4f,Cream,1 %,1.7,4,0,0
Furosemide,56336755-d9be-49af-83b2-a1beef005924,Tablet,40mg,0.94,48,18,13
Furosemide,56336755-d9be-49af-83b2-a1beef005924,Injection,10mg/mL,3.06,6,5,0
Furosemide,56336755-d9be-49af-83b2-a1beef005924,Oral Liquid,10mg/mL,3.4,0,0,0
Fusidic acid,28b66b4f-18f0-4575-9b72-5d1c2c47212d,Cream,2 %,10.06,104,0,0
Gefitinib,32d436c3-5ad7-4b53-8034-ddd5f66b12c5,Tablet,250mg,242.84,50,50,36
Gemcitabine,f35e4f8b-ac46-4f1f-b86b-fe05751ce9d3,Injection,1000mg,5726.84,100,46,7
Gemcitabine,f35e4f8b-ac46-4f1f-b86b-fe05751ce9d3,Injection,200 mg,1331.01,100,42,12
Gentamicin,84c8916b-3a17-4995-aefd-32f967b792e7,Injection,40mg/mL (1.5 ml),2.97,89,31,14
Gentamicin,84c8916b-3a17-4995-aefd-32f967b792e7,Injection,10mg/mL,2.47,89,5,4
Gentamicin,84c8916b-3a17-4995-aefd-32f967b792e7,Injection,40mg/mL (Pack of 10ml),1.55,89,31,25
Gentamicin,84c8916b-3a17-4995-aefd-32f967b792e7,Injection,40mg/mL (Pack of 20ml),1.59,89,31,25
Gentamicin,84c8916b-3a17-4995-aefd-32f967b792e7,Injection,40mg/mL (Pack of 30ml),1.26,89,31,25
Gentamicin,84c8916b-3a17-4995-aefd-32f967b792e7,Injection,40mg/mL (2ml),4.96,89,31,3
Glimepiride,148d6b89-0f57-4ef4-8b7e-3b1b516cfdd4,Tablet,2mg,5.94,5100,2455,1640
Glimepiride,148d6b89-0f57-4ef4-8b7e-3b1b516cfdd4,Tablet,1mg,3.78,5100,2254,1742
Glycopyrrolate,2b313e4d-110d-4585-b474-b6340fafd8ab,Injection,0.2mg/mL,14.88,17,17,4
Griseofulvin,a20cc71b-4cfb-4e9d-9eaa-2158cf1d906f,Tablet,250mg,1.81,73,34,15
Haloperidol,0dab2862-807c-4148-96d3-bcd102911775,Tablet,5mg,3.65,236,83,6
Haloperidol,0dab2862-807c-4148-96d3-bcd102911775,Tablet,10mg,4.89,236,54,4
Haloperidol,0dab2862-807c-4148-96d3-bcd102911775,Oral Liquid,2mg/5mL,2.29,0,0,0
Haloperidol,0dab2862-807c-4148-96d3-bcd102911775,Injection,5mg/mL,6.66,1,1,0
Haloperidol,0dab2862-807c-4148-96d3-bcd102911775,Tablet,20mg,5.49,236,11,5
Haloperidol,0dab2862-807c-4148-96d3-bcd102911775,Tablet,1.5mg,1.62,236,52,16
Halothane,e3aa2a3a-8c1b-4a0d-b7e1-77d788c26d35,Liquid For Inhalation,,6.25,0,0,0
Heparin,eb15f59b-d7d9-4210-acd2-c7803a903a27,Injection,1000IU/mL,21.72,67,0,0
Heparin,eb15f59b-d7d9-4210-acd2-c7803a903a27,Injection,5000IU/mL,61.4,67,0,0
Homatropine,07d00f17-cb5a-4038-bdbd-258c0730346c,Drops,2%,6.55,0,0,0
Human normal immunoglobulin,1f22b251-ebff-4117-acec-f00ee7d8df8a,Solution,for infusion (16.5%),481.68,16,0,0
Human normal immunoglobulin,1f22b251-ebff-4117-acec-f00ee7d8df8a,Solution,for infusion (10%),207.87,16,0,0
Human normal immunoglobulin,1f22b251-ebff-4117-acec-f00ee7d8df8a,Solution,for infusion (5%),149.57,16,0,0
Hydrochlorothiazide,182937fe-9cf8-43d1-84b1-d4ca1bf2d989,Tablet,25 mg,1.79,244,10,4
Hydrochlorothiazide,182937fe-9cf8-43d1-84b1-d4ca1bf2d989,Tablet,12.5mg,1.07,244,234,226
Hydrocortisone,9bb067ef-8731-49e5-a443-e6e345df8cfa,Injection,100mg,45.87,139,115,20
Hydrocortisone,9bb067ef-8731-49e5-a443-e6e345df8cfa,Tablet,10mg,6.86,7,2,0
Hydrocortisone,9bb067ef-8731-49e5-a443-e6e345df8cfa,Injection,200mg,67.17,139,17,4
Hydrocortisone,9bb067ef-8731-49e5-a443-e6e345df8cfa,Tablet,5mg,3.19,7,1,0
Hydrocortisone,9bb067ef-8731-49e5-a443-e6e345df8cfa,Tablet,20mg,15.25,7,2,0
Hydroxychloroquine,1d3c2ec5-8c04-4e05-af20-5f9b1b263d82,Tablet,400mg,14.13,100,20,1
Hydroxychloroquine,1d3c2ec5-8c04-4e05-af20-5f9b1b263d82,Tablet,200mg,6.51,100,68,10
Hydroxyurea,985a9805-2e35-424e-83c4-30e71e28e618,Capsule,500mg,12.41,25,23,10
Hyoscine butylbromide,af17dee6-d7fd-462a-b5b0-0a95c148335d,Injection,20 mg/ml,11.51,19,17,3
Ibuprofen,63786a2b-6b2f-4caa-be1b-5dc29b9de6e4,Tablet,200mg,0.72,342,20,8
Ibuprofen,63786a2b-6b2f-4caa-be1b-5dc29b9de6e4,Tablet,400mg,1.23,342,272,117
Ibuprofen,63786a2b-6b2f-4caa-be1b-5dc29b9de6e4,Oral Liquid,100mg/5mL(p),0.22,0,0,0
Ibuprofen,63786a2b-6b2f-4caa-be1b-5dc29b9de6e4,Capsule,400 mg,1.34,18,10,8
Ifosfamide,abc8288a-4091-4d5c-8bcd-499bb07550ef,Injection,2000mg,658.6,15,6,3
Ifosfamide,abc8288a-4091-4d5c-8bcd-499bb07550ef,Injection,1000mg,326.62,15,8,6
Insulin Glargine,a9a7524a-3963-49a5-a984-5b652ea78a02,Injection,100 IU/ml,208.34,20,0,0
Iohexol,d2cbb0ec-4119-45a5-92fa-c63e75235a0a,Injection,300mg iodine/mL,19.87,2,2,1
Iohexol,d2cbb0ec-4119-45a5-92fa-c63e75235a0a,Injection,350mg iodine/mL,14.58,2,0,0
Ipratropium,b1f10703-0ffa-45d4-b678-f331d271bf69,Solution,for use in nebulizer 250mcg/mL,2.98,2,0,0
Iron sucrose,30e9ffa9-c39d-4c3e-8262-8f46fb1e5f7f,Injection,20mg/mL,58.79,392,78,14
Isoflurane,ce08d9f1-4d1d-47aa-a132-f8521453381d,Liquid For Inhalation,,9.88,0,0,0
Isoniazid,2db7b926-ac0a-4988-87cf-509600c32728,Tablet,100mg,0.74,117,16,15
Isoniazid,2db7b926-ac0a-4988-87cf-509600c32728,Tablet,300mg,1.32,117,37,31
Isosorbide dinitrate,304e355f-6b86-491c-bae1-b02817af3e1f,Tablet,5mg,0.84,22,3,1
Isosorbide dinitrate,304e355f-6b86-491c-bae1-b02817af3e1f,Tablet,10mg,0.83,22,8,5
Ispaghula,3351e5d5-85f5-4468-81bc-1b4caba5ddd4,Granules,/Husk/Powder,0.97,0,0,0
Itraconazole,ec3a5f8a-5e17-4e28-93ef-e6fa286e8a4f,Oral Liquid,10mg/mL,5.06,0,0,0
Itraconazole,ec3a5f8a-5e17-4e28-93ef-e6fa286e8a4f,Capsule,100mg,17.07,2377,1098,553
Itraconazole,ec3a5f8a-5e17-4e28-93ef-e6fa286e8a4f,Capsule,200mg,22.65,2377,1224,970
Ivermectin,a4a76009-9160-4316-8397-bc8851ac2a15,Tablet,6 mg,22.1,569,347,42
Ivermectin,a4a76009-9160-4316-8397-bc8851ac2a15,Tablet,12 mg,38.27,569,199,16
Ketamine,58fcdf0a-ed20-410e-a016-9b56aceb5f1c,Injection,50mg/mL,12.41,29,19,5
Labetalol,6a01facc-f3c4-466e-8821-c139e8618664,Injection,5mg/mL,51.18,37,11,6
Labetalol,6a01facc-f3c4-466e-8821-c139e8618664,Tablet,100 mg,15.52,46,39,7
Lactulose,ca99ba41-db52-4594-8a47-70847fbe4481,Oral Liquid,10 g/15mL,1.26,0,0,0
Lamivudine,56e2a7a0-f396-45e2-9328-33386c03cb51,Tablet,100mg,11.33,87,12,4
Lamivudine,56e2a7a0-f396-45e2-9328-33386c03cb51,Tablet,150mg,11.12,87,55,38
Latanoprost,ef4cfce5-19ab-42b5-bb29-2a5565566834,Drops,0.005%,238.17,0,0,0
Lenalidomide,c714964e-ff1c-45eb-b5bb-b96937bce9a4,Capsule,5mg,68.86,53,12,7
Lenalidomide,c714964e-ff1c-45eb-b5bb-b96937bce9a4,Capsule,25 mg,299.3,53,16,6
Letrozole,13e73f00-815c-492a-a238-d74da4b5a4cf,Tablet,2.5mg,30.02,166,144,68
Levetiracetam,16275623-8716-4ff5-b8f5-2f0eab6c3977,Tablet,250mg,6.45,456,108,21
Levetiracetam,16275623-8716-4ff5-b8f5-2f0eab6c3977,Tablet,500mg,13.3,456,213,34
Levetiracetam,16275623-8716-4ff5-b8f5-2f0eab6c3977,Modified Release,Tablet 750mg,18.74,0,0,0
Levetiracetam,16275623-8716-4ff5-b8f5-2f0eab6c3977,Tablet,750mg,19.81,456,71,15
Levetiracetam,16275623-8716-4ff5-b8f5-2f0eab6c3977,Oral Liquid,100 mg/mL (p),4.07,0,0,0
Levetiracetam,16275623-8716-4ff5-b8f5-2f0eab6c3977,Injection,100mg/mL,23.57,51,28,5
Levodopa (A) + Carbidopa (B),a6f9a64b-2c10-48bc-8694-d964b6fdf530,Modified Release,–Tablet 200mg (A) + 50mg (B),4.84,0,0,0
Levodopa (A) +Carbidopa(B),a6f9a64b-2c10-48bc-8694-d964b6fdf530,Tablet,100 mg (A) + 25 mg (B),2.64,28,11,5
Levodopa (A) +Carbidopa(B),a6f9a64b-2c10-48bc-8694-d964b6fdf530,Tablet,100 mg (A) + 10 mg (B),1.8,28,11,7
Levodopa (A) +Carbidopa(B),a6f9a64b-2c10-48bc-8694-d964b6fdf530,Tablet,250mg(A) +25mg(B),4.53,28,8,1
Levodopa (A) +Carbidopa(B),a6f9a64b-2c10-48bc-8694-d964b6fdf530,Modified Release,–Tablet 100 mg (A) + 25 mg (B),2.86,0,0,0
Levofloxacin,9d9a71f0-55e8-46a1-86d7-0db787e58218,Tablet,750mg,12.75,2090,187,11
Levofloxacin,9d9a71f0-55e8-46a1-86d7-0db787e58218,Tablet,250mg,4.93,2090,585,283
Levofloxacin,9d9a71f0-55e8-46a1-86d7-0db787e58218,Tablet,500mg,9.21,2090,1308,80
Levonorgestrel,0c7c22e6-77ff-4293-89f8-ec9ba75ce0c9,Tablet,1.5mg,77.16,19,17,9
Linezolid,ca4567b9-f270-4b65-95cf-d1f0fea6775d,Tablet,600mg,36.53,411,401,120
Linezolid,ca4567b9-f270-4b65-95cf-d1f0fea6775d,Tablet,300 mg,23.19,411,1,1
Loperamide,4fab9ec9-a109-4a5d-bb89-bacea6f656b4,Tablet,2mg,2.34,56,54,2
Loperamide,4fab9ec9-a109-4a5d-bb89-bacea6f656b4,Capsule,2mg,3.89,30,29,1
Lopinavir (A) + Ritonavir(B),1610b748-dacc-4689-ae4f-2e1e4c803b5b,Tablet,200 mg (A) + 50mg (B),49.12,0,0,0
Lorazepam,fe3e1cdf-8d96-45cd-b578-67f21883d0ea,Tablet,1 mg,2.37,217,99,5
Lorazepam,fe3e1cdf-8d96-45cd-b578-67f21883d0ea,Tablet,2 mg,2.88,217,108,13
Lorazepam,fe3e1cdf-8d96-45cd-b578-67f21883d0ea,Injection,2mg/mL,8.29,20,15,3
Magnesium sulphate,51f9eca3-a1e8-4ed7-8116-e71e9ac6ed29,Injection,500mg/mL,4.98,4,0,0
Mannitol,1905039f-b361-4c1a-b330-026563d1ed78,Injection,20 %,0.36,0,0,0
Mannitol,1905039f-b361-4c1a-b330-026563d1ed78,Injection,10 %,0.19,0,0,0
Mebendazole,8e601292-af5f-4293-8aa0-75fa47299fbe,Tablet,100 mg,2.97,24,18,3
Mebendazole,8e601292-af5f-4293-8aa0-75fa47299fbe,Oral Liquid,100mg/5mL(p),0.86,0,0,0
Medroxyprogesterone acetate,cba0764e-7379-40bc-826f-a4a630d0d9fe,Tablet,10 mg,6.4,68,54,0
Medroxyprogesterone acetate,cba0764e-7379-40bc-826f-a4a630d0d9fe,Injection,150mg/mL,296.72,7,5,1
Mefenamic acid,8e885686-d00b-4d2d-b4d0-cef1daf028d9,Oral Liquid,100mg/5mL(p),0.57,0,0,0
Mefenamic acid,8e885686-d00b-4d2d-b4d0-cef1daf028d9,Tablet,250 mg,2.16,190,52,34
Mefloquine,21858560-c8be-42cd-9a8a-543dc76d41f2,Tablet,250 mg,53.41,21,20,1
Meglumine diatrizoate,b17abcae-ab04-4536-ad11-4c9dd82d4e4d,Injection,60%w/v,9.69,0,0,0
Meglumine diatrizoate,b17abcae-ab04-4536-ad11-4c9dd82d4e4d,Injection,76%w/v,10.45,0,0,0
Melphalan,d54e6fef-cc05-464d-99b4-5bb47e26b8f6,Tablet,2 mg,93.53,8,5,2
Melphalan,d54e6fef-cc05-464d-99b4-5bb47e26b8f6,Tablet,5 mg,88.11,8,3,3
Meropenem,94bb79a2-d504-4a0c-98a2-3a02f7ea7da6,Injection,500 mg (as trihydrate),740.38,1136,202,132
Meropenem,94bb79a2-d504-4a0c-98a2-3a02f7ea7da6,Injection,1000mg (as trihydrate),975.62,1136,774,636
Mesna,fc51b7fa-a5ef-4e5b-946d-1ea9c0d759fb,Injection,100mg/mL,15.88,13,3,3
Metformin,1564124b-3941-47ef-88df-fa8a9c60510e,Tablet,1000mg,3.57,2169,566,418
Metformin,1564124b-3941-47ef-88df-fa8a9c60510e,Tablet,500mg,2.07,2169,1498,1174
Metformin,1564124b-3941-47ef-88df-fa8a9c60510e,Modified Release,Tablet 1000mg,4.15,0,0,0
Methotrexate,9ddecef7-bcbe-4f5c-ba6d-1c82e1110d16,Tablet,10mg,13.61,126,16,4
Methotrexate,9ddecef7-bcbe-4f5c-ba6d-1c82e1110d16,Tablet,2.5mg,5.44,126,31,1
Methotrexate,9ddecef7-bcbe-4f5c-ba6d-1c82e1110d16,Tablet,5mg,9.65,126,27,0
Methylergometrine,0960b159-2743-4dc0-a044-ab973fe44120,Tablet,0.125mg,9.16,41,40,3
Methylergometrine,0960b159-2743-4dc0-a044-ab973fe44120,Injection,0.2mg/mL,15.31,37,36,15
Methylprednisolone,3f3f1c97-6d83-4f0b-986c-24ec4f115b9d,Injection,40mg/mL,46.76,366,134,117
Metoclopramide,396339c9-5152-47b3-9d6e-7227fbc9af21,Tablet,10mg,1.38,52,27,6
Metoclopramide,396339c9-5152-47b3-9d6e-7227fbc9af21,Injection,5mg/mL (Less than 10ML Pack),2.74,19,14,1
Metoclopramide,396339c9-5152-47b3-9d6e-7227fbc9af21,Injection,5mg/mL (10 ML & More Pack),1.67,19,14,6
Metoclopramide,396339c9-5152-47b3-9d6e-7227fbc9af21,Oral Liquid,5mg/5mL(p),0.51,0,0,0
Metronidazole,4925276e-708b-494e-b7bf-357b5f432c37,Tablet,200mg,0.84,92,24,9
Metronidazole,4925276e-708b-494e-b7bf-357b5f432c37,Tablet,400mg,1.56,92,42,18
Metronidazole,4925276e-708b-494e-b7bf-357b5f432c37,Injection,500mg/100mL,0.21,1,1,1
Metronidazole,4925276e-708b-494e-b7bf-357b5f432c37,Oral Liquid,200mg/5mL(p),0.53,0,0,0
Midazolam,5e33f3a4-05b7-435b-8448-79c02037161e,Nasal Spray,1.25mg/ actuation,222.02,0,0,0
Midazolam,5e33f3a4-05b7-435b-8448-79c02037161e,Nasal Spray,0.5 mg/actuation,81.85,0,0,0
Midazolam,5e33f3a4-05b7-435b-8448-79c02037161e,Injection,1mg/mL,6.06,30,16,8
Midazolam,5e33f3a4-05b7-435b-8448-79c02037161e,Injection,5mg/mL,11.14,30,9,4
Mifepristone,8a41c93d-8e6e-49d8-a1a3-b07f9b0e907a,Tablet,200mg,359.35,76,52,9
Misoprostol,1e692af6-ab9d-450a-9718-5c9ee7c79fbb,Tablet,200mcg,19.43,51,0,0
Misoprostol,1e692af6-ab9d-450a-9718-5c9ee7c79fbb,Tablet,100mcg,10.16,51,0,0
Montelukast,d0673617-5470-4b98-ae96-ba0dd3af6adf,Tablet,5 mg (including chewable Tablets),12.3,983,40,2
Montelukast,d0673617-5470-4b98-ae96-ba0dd3af6adf,Tablet,4 mg,10.48,983,31,4
Montelukast,d0673617-5470-4b98-ae96-ba0dd3af6adf,Tablet,10 mg,16.84,983,904,129
Morphine,1415cc27-3b54-4ade-95f0-808a5bc79705,Injection,10mg/mL,20.07,1,1,1
Morphine,1415cc27-3b54-4ade-95f0-808a5bc79705,Injection,15mg/mL,15.29,1,0,0
